,Symbol,Name,52 Week High,52 Week Low
374,PG,Procter & Gamble,80.1,94.67
375,PGR,Progressive Corp.,36.84,58.25
376,PLD,Prologis,48.69,67.53
377,PRU,Prudential Financial,97.88,127.14
378,PEG,Public Serv. Enterprise Inc.,41.67,53.28
379,PSA,Public Storage,180.9254,232.21
380,PHM,Pulte Homes Inc.,21.06,35.21
381,PVH,PVH Corp.,84.53,157.96
382,QRVO,Qorvo,62.68,85.24
383,QCOM,QUALCOMM Inc.,48.92,69.28
384,PWR,Quanta Services Inc.,30.23,40.105
385,DGX,Quest Diagnostics,90.1,112.965
386,RRC,Range Resources Corp.,12.7,34.09
387,RJF,Raymond James Financial Inc.,71.35,99.1
388,RTN,Raytheon Co.,147.86,213.45
389,O,Realty Income Corporation,48.89,63.6
390,RHT,Red Hat Inc.,78.48,135.77
391,REG,Regency Centers Corporation,56.66,72.05
392,REGN,Regeneron,319.5,543.5518
393,RF,Regions Financial Corp.,13.0,19.9
394,RSG,Republic Services Inc,57.53,69.4
395,RMD,ResMed,67.04,104.78
396,RHI,Robert Half International,42.92,60.59
397,ROK,Rockwell Automation Inc.,147.67,210.72
398,COL,Rockwell Collins,89.9,139.63
399,ROP,Roper Technologies,191.22,290.415
400,ROST,Ross Stores,52.85,85.66
401,RCL,Royal Caribbean Cruises Ltd,93.4,135.65
402,SPGI,"S&P Global, Inc.",124.64,185.38
403,CRM,Salesforce.com,79.63,114.52
404,SBAC,SBA Communications,103.51,177.67
405,SCG,SCANA Corp,35.31,71.28
406,SLB,Schlumberger Ltd.,61.02,82.71
407,SNI,Scripps Networks Interactive Inc.,64.87,88.87
408,STX,Seagate Technology,30.6,56.45
409,SEE,Sealed Air,41.22,50.62
410,SRE,Sempra Energy,100.63,122.975
411,SHW,Sherwin-Williams,302.0101,435.15
412,SIG,Signet Jewelers,46.09,77.94
413,SPG,Simon Property Group Inc,150.15,187.35
414,SWKS,Skyworks Solutions,90.53,117.65
415,SLG,SL Green Realty,91.2,115.34
416,SNA,Snap-On Inc.,140.83,185.47
417,SO,Southern Co.,42.63,53.51
418,LUV,Southwest Airlines,49.76,66.985
419,SWK,Stanley Black & Decker,121.09,176.62
420,SBUX,Starbucks Corp.,52.58,64.87
421,STT,State Street Corp.,75.27,114.27
422,SRCL,Stericycle Inc,61.25,88.0
423,SYK,Stryker Corp.,122.01,170.0
424,STI,SunTrust Banks,51.96,72.06
425,SYMC,Symantec Corp.,25.65,34.2
426,SYF,Synchrony Financial,26.01,40.59
427,SNPS,Synopsys Inc.,64.75,94.8
428,SYY,Sysco Corp.,48.85,64.27
429,TROW,T. Rowe Price Group,66.7,120.07
430,TPR,"Tapestry, Inc.",36.69,50.71
431,TGT,Target Corp.,48.56,78.7
432,TEL,TE Connectivity Ltd.,71.93,108.23
433,FTI,TechnipFMC,24.53,35.0
434,TXN,Texas Instruments,74.52,120.75
435,TXT,Textron Inc.,45.0,62.19
436,BK,The Bank of New York Mellon Corp.,44.91,58.99
437,CLX,The Clorox Company,124.09,150.4
438,COO,The Cooper Companies,187.02,256.39
439,HSY,The Hershey Company,98.851,116.49
440,MOS,The Mosaic Company,19.23,34.36
441,TRV,The Travelers Companies Inc.,113.76,150.55
442,DIS,The Walt Disney Company,96.2,116.1
443,TMO,Thermo Fisher Scientific,151.69,226.44
444,TIF,Tiffany & Co.,77.93,111.44
445,TWX,Time Warner Inc.,85.88,103.9
446,TJX,TJX Companies Inc.,66.44,81.46
447,TMK,Torchmark Corp.,73.53,93.595
448,TSS,Total System Services,50.96,89.92
449,TSCO,Tractor Supply Company,49.87,82.68
450,TDG,TransDigm Group,203.72,321.38
451,TRIP,TripAdvisor,29.5,53.29
452,FOXA,Twenty-First Century Fox Class A,24.81,39.135
453,FOX,Twenty-First Century Fox Class B,24.3,38.56
454,TSN,Tyson Foods,57.2,84.65
455,USB,U.S. Bancorp,49.535,58.5
456,UDR,UDR Inc,33.31,40.71
457,ULTA,Ulta Salon Cosmetics & Fragrance Inc,187.96,314.86
458,UAA,Under Armour Class A,11.4,23.46
459,UA,Under Armour Class C,10.36,21.805
460,UNP,Union Pacific,101.06,143.05
461,UAL,United Continental Holdings,56.51,83.04
462,UNH,United Health Group Inc.,156.49,250.79
463,UPS,United Parcel Service,102.12,135.53
464,URI,"United Rentals, Inc.",100.62100000000001,189.0
465,UTX,United Technologies,107.05,139.24
466,UHS,"Universal Health Services, Inc.",95.26,129.74
467,UNM,Unum Group,43.55,58.73
468,VFC,V.F. Corp.,48.05,82.95
469,VLO,Valero Energy,60.69,99.95
470,VAR,Varian Medical Systems,77.73,130.29
471,VTR,Ventas Inc,51.8,72.36
472,VRSN,Verisign Inc.,81.17,118.28
473,VRSK,Verisk Analytics,75.6,100.54
474,VZ,Verizon Communications,42.8,54.77
475,VRTX,Vertex Pharmaceuticals Inc,84.39,174.955
476,VIAB,Viacom Inc.,22.13,46.72
477,V,Visa Inc.,84.88,126.88
478,VNO,Vornado Realty Trust,66.0101,111.72
